dte
2000-02-26
2000-03-27
2000-05-01
2001-01-29
2001-02-08
2001-02-28
2001-03-21
2001-03-22
2001-03-31
2001-04-26
2002-02-01
2002-02-02
2002-02-15
2002-03-01
2002-03-31
2002-04-29
2002-05-02
2002-05-13
2003-01-29
2003-02-12
2003-02-28
2003-04-05
2003-04-21
2004-02-01
2004-02-27
2004-03-30
2004-04-27
2005-01-31
2005-02-10
2005-02-25
2005-03-01
2005-04-01
2005-05-03
2006-01-25
2006-02-07
2006-02-12
2006-02-18
2006-03-02
2006-03-27
2006-04-29
2007-01-30
2007-02-17
2007-03-03
2007-03-31
2007-05-01
2008-02-05
2008-02-26
2008-04-02
2008-04-27
2008-04-29
2009-01-31
2009-02-01
2009-02-03
2009-03-01
2009-03-27
2009-04-21
2010-02-03
2010-02-08
2010-02-23
2010-03-02
2010-03-28
2010-04-24
2011-02-01
2011-02-09
2011-02-13
2011-02-15
2011-02-26
2011-03-20
2011-05-05
2012-02-03
2012-03-05
2012-04-03
2012-05-08
