dte
2000-03-02
2000-03-27
2000-05-01
2001-02-08
2001-02-28
2001-03-22
2001-04-26
2002-02-03
2002-03-01
2002-04-03
2002-05-02
2003-02-12
2003-02-25
2003-04-10
2003-04-21
2004-02-06
2004-02-22
2004-03-30
2004-04-26
2005-02-01
2005-02-26
2005-04-06
2005-04-25
2006-02-07
2006-03-03
2006-03-27
2006-04-29
2007-02-17
2007-03-07
2007-03-24
2007-05-01
2008-02-14
2008-02-26
2008-04-03
2008-04-27
2009-02-03
2009-02-28
2009-04-06
2009-04-21
2010-01-28
2010-03-01
2010-03-24
2010-05-08
2011-02-02
2011-02-13
2011-02-27
2011-04-20
2011-04-24
2011-05-02
2012-02-03
2012-03-07
2012-04-03
2012-05-08
